"title","body","rating","review_date","source","curated","reviewer_name","reviewer_email","product_id","product_handle","reply","reply_date","picture_urls","ip_address","location","metaobject_handle"
"","It’s 💯 😊","5","2026-03-10 00:00:00 UTC","aliexpress","ok","Titus Bauch","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A3cbe53cb09ab4d098d242a84aa6bea314.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A4498b7ddd87b4f41a1d86896732f97588.jpg","","","review-b7a7165d-6e2c-471b-a898-504e63e51365"
"","The product quality is good. 
 👍 👍 👍 👍 👍 👍 👍 👍 
 The finish is clean and it looks even prettier in person. 
 It's really cute and pretty, but the picture isn't showing up. 
 The light comes on well and I like it. 
 If you want to buy this product 
    Happy Magic Store I will buy from this store again.","5","2026-03-25 00:00:00 UTC","aliexpress","ok","Trent Carter","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/S660f65cdf6a647ef94d5cc00fe5ce9cdW.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Safb5da6010ff45f9af08b68f0ed37c82W.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Se122355d6d154a19acf71ca974e3a625x.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Sfb1d75b74e3f455fa0dda49e30151aabv.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Sfdbc8461c81b4769aa4678cc117ac615a.jpg","","","review-ceda7952-3e85-44fd-9d06-a14c2b70a0f7"
"","It's really beautiful. 
 It's really the best. 👍 👍 👍 👍 👍 👍 👍 👍 
 The color is slightly darker than in the photo. 
 The photos on the site seem to have a slightly faded color. 
 It's actually much prettier. 
 The finish is neat and it lights up well. 
   Really the best. 👍 
 One of the lids was missing. 
 The black plastic is fixed so that the light does not come on. 
 I think that's the reason. 
 Except for that, it looks really nice when you close the lid. 
 There is no problem with the product. 
 Happy Magic Store I will buy from this store again.","5","2026-03-25 00:00:00 UTC","aliexpress","ok","Dotty Greenfelder","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/Sae5437c34ba14fd4a149a6383193aca2E.jpg, https://ae-pic-a1.aliexpress-media.com/kf/S30887da0c5c24c21acc8fc6c7bf86aa1A.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Sf925d5e8c6d647d0b86dff98cc905bfaF.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Sf85eb6f246984c8e9f8b00af90e836fes.jpg","","","review-8d56a77a-1a4d-4650-98b4-40370bb7962b"
"","Arrived fast, it's identical to description and all lights work, thank you!","5","2025-12-06 00:00:00 UTC","aliexpress","ok","Josiah Marquardt","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A7632c15f7a824d158207e5aa31832abaJ.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Ad5d7918496e44d3a9bc0b7cd44067173V.jpg","","","review-a6ccef3e-3005-4f16-83c9-d71635d133c7"
"","It works, very well, thank you.","5","2026-02-27 00:00:00 UTC","aliexpress","ok","Gerri Windler","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A816341e8c9db466e8b1cc47159bdadb00.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A3fd45434f49d4c95885f2699cfd677e1f.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A06e4bf32605a431aa83baf53758d000dO.jpg","","","review-6ad0332f-f1e9-4d13-bf28-eee6c7a3a4b1"
"","Good experience, it arrived on the indicated date and the product is of good quality for its price.","5","2025-11-28 00:00:00 UTC","aliexpress","ok","Evelina Cronin","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A0f8ba489fb8642d9a1dd5cbdc75f363cm.jpg","","","review-42dd58aa-61f5-48a5-8e3d-859a775d4c4e"
"","Great! There was a button in the package that was bent, but I easily pushed it back into place. The colors change when I hold it down :)","5","2026-03-04 00:00:00 UTC","aliexpress","ok","Shanta Becker","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A1f1ac646f1a74adda409250afb18961dq.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A8243ab6cf2d74a6f81351bd723dd0573i.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A55fab811326c45308143238d0fde5b05A.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Ab661fdef63d64ad38a7929c1b4d9d5b2M.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Aadadb2015ee249d790d52e008fa3c211x.jpg","","","review-d99ebd38-609c-4ad2-8374-8a62f5003792"
"","The keychain keyboard works as expected, it's a bit of a gimmick but it's very satisfying and makes a clicking sound that emulates a mechanical keyboard (but it's not a mechanical keyboard). Each key has a multicolored LED (all with the same lighting pattern).","5","2026-03-04 00:00:00 UTC","aliexpress","ok","Leonardo Jacobi","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A2485a422f98742a28c1a8bfcab1096f7c.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Acbbd76022464462085dbcb5b7f990e04j.jpg","","","review-62ad052d-b36b-452a-8291-3e5b5d29029f"
"","wonderful, a pleasure the little click-clack-clack sound","5","2026-02-08 00:00:00 UTC","aliexpress","ok","Tameka Yundt","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/Aee6d1e66fd07495da2a6566406b909d1w.jpg","","","review-7b9d7d05-6880-4a8c-8923-9cc33b245f09"
"","Fast delivery, thank you.","5","2026-02-12 00:00:00 UTC","aliexpress","ok","Marcus Dach","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/Ad23166fa398e4bde92b9474b807f5dc0H.jpg","","","review-a1a8ee0c-8023-4d2a-a25e-7bf8cf407e2b"
